subID	modeli	name	eta	Mp	wp	nll	nllsd	success	iterations
1	1	McFadden	2.91635585427285	NaN	NaN	250.238330845619	0.0445271753699832	2	16
1	2	Model2	2.52664785385132	NaN	NaN	248.835798915345	0.0882088456714762	2	14
1	3	DN	1	2.98384568672496	8.26254903940615e-08	250.23499593821	0.0441120740845545	1	22
1	4	dDNa	1	2.6397216796875	2.44140624999778e-05	248.866059392411	0.0573360644311733	1	25
1	5	dDNb	1	2.61240530014039	5.9604644553346e-09	248.845482990779	0.0582052000980705	1	18
1	6	dDNc	1	2.54788739681244	4.76837158092103e-08	248.850231264896	0.0804015365262239	2	27
1	7	dDNd	1	2.50431518554688	3.05175781245559e-06	248.80660904051	0.0698089993226937	2	14
2	1	McFadden	82.4562080383301	NaN	NaN	349.043647260972	0.0285268684364772	2	9
2	2	Model2	79.83585729599	NaN	NaN	348.341137959679	0.0282771771882683	2	9
2	3	DN	1	81.1549892425537	3.81469726529193e-07	349.015139027728	0.0274508511194382	2	15
2	4	dDNa	1	80.3533228516579	5.9604644553346e-09	348.297108217289	0.0389201930685517	2	19
2	5	dDNb	1	79.899658203125	3.05175781245559e-06	348.300176644832	0.0343911579560963	2	15
2	6	dDNc	1	79.1488274265663	1.16415210804632e-11	348.344727567164	0.0292952086346669	2	16
2	7	dDNd	1	80.7335431411862	7.45058015283462e-10	348.341347788755	0.0363871600118516	2	14
3	1	McFadden	7.72654638000095	NaN	NaN	183.866312562976	0.0273440816449993	1	18
3	2	Model2	7.1216751664877	NaN	NaN	191.716176560848	0.0318968343407203	2	18
3	3	DN	1	2.6803608235161	0.179432041083783	180.311582042162	0.0377854539291497	1	19
3	4	dDNa	1	4.3894744873047	0.100516700744629	191.717766340109	0.0366654973499105	2	14
3	5	dDNb	1	2.86102299185131e-07	0.238292133808136	189.651152295137	0.0503310784985224	1	18
3	6	dDNc	1	5.38791378145543	0.0633879346358299	191.581293727249	0.0468028154167681	2	19
3	7	dDNd	1	0.00413153465075311	0.235223004027435	189.139692263697	0.0449516946592796	1	18
4	1	McFadden	10.0256287574768	NaN	NaN	124.858134710629	0.0297646420373374	2	16
4	2	Model2	9.24612166285515	NaN	NaN	124.928881155406	0.0328949857602174	2	17
4	3	DN	1	10.1275842295028	9.31322241548571e-11	124.84995773939	0.0228799815419083	1	19
4	4	dDNa	1	9.295703125	0.000195312499999989	124.915826734858	0.0299086443289436	2	13
4	5	dDNb	1	9.21780459603686	2.83106871279415e-15	124.926714531422	0.0253662754546621	2	23
4	6	dDNc	1	9.36190185546876	3.81469726529193e-07	124.922085958805	0.0236745602212802	2	15
4	7	dDNd	1	9.30773925781251	2.44140624999778e-05	124.902821692464	0.025976075147642	2	14
5	1	McFadden	6.38037309646607	NaN	NaN	152.11575121133	0.0700112710520771	1	20
5	2	Model2	5.39599609375001	NaN	NaN	155.270213350023	0.0966249122875347	2	13
5	3	DN	1	6.46711788177491	4.76837158092103e-08	152.314654318647	0.0849109642919749	2	11
5	4	dDNa	1	5.31776123046875	3.05175781245559e-06	154.859344480623	0.0945995648944045	2	15
5	5	dDNb	1	5.27939605712891	3.05175781245559e-06	154.771890675479	0.0968083849664524	2	19
5	6	dDNc	1	5.48532676696778	3.81469726529193e-07	155.407970937586	0.104879409645856	1	23
5	7	dDNd	1	5.69689941406251	2.44140624999778e-05	156.018667531027	0.0851916271415537	2	12
6	1	McFadden	34.6286206945777	NaN	NaN	248.36388868015	0.0251589916992377	2	13
6	2	Model2	34.0065773173585	NaN	NaN	248.144712956043	0.0368581853182577	2	22
6	3	DN	1	2.86102299185131e-07	0.287533268332481	239.104150594839	0.0289690269210151	2	11
6	4	dDNa	1	2.86102299185131e-07	0.273433354496956	237.692952117423	0.0324011288631064	2	16
6	5	dDNb	1	2.86102299185131e-07	0.27401407957077	238.56152061485	0.0344963247657703	2	15
6	6	dDNc	1	0.000799560546880684	0.272607421875	237.695342160545	0.0306123600942896	2	13
6	7	dDNd	1	1.0244549031313e-07	0.280829752609134	238.551281527665	0.0337872310096142	2	11
7	1	McFadden	56.3893295288086	NaN	NaN	286.026902634958	0.0333726567021568	2	16
7	2	Model2	54.4009562008083	NaN	NaN	286.522197552769	0.0294997579581589	2	11
7	3	DN	1	55.4860809540958	1.16415210804632e-11	286.012616387575	0.0377769297493854	2	15
7	4	dDNa	1	54.3757881267287	8.54492303914989e-05	286.510054561015	0.035561028321403	2	16
7	5	dDNb	1	55.8851990156042	2.27040608535845e-14	286.456228511962	0.0341464369970224	2	20
7	6	dDNc	1	54.8316364977974	1.93878076926168e-07	286.511078464885	0.0308001644369182	2	11
7	7	dDNd	1	55.3796578407288	4.76837158092103e-08	286.482704507764	0.0415280560240085	2	17
8	1	McFadden	16.4793937683106	NaN	NaN	168.520702807593	1.24270135452569	1	21
8	2	Model2	16.42109375	NaN	NaN	167.736573421339	0.0940905052131806	1	32
8	3	DN	1	15.1871197938919	0.0194646954536438	168.411308172593	0.110125408049322	2	11
